,Unnamed: 0,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals.1,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made.1,Penalty Kicks Attempted.1,xG: Expected Goals.1,npxG: Non-Penalty xG.1,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists.1,xAG: Exp. Assisted Goals.1,xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes.1,Passes Attempted.1,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed.1,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec.1,Yellow Cards.1,Red Cards.1,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses.1,Interceptions.1,Tackles Won.1,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
0,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,0.1,0.07,0.17,0.1,0.0,0.0,0.17,0.0,0.06,0.06,0.06,0.13,2.55,5.75,3.54,0.1,0.95,0.37,39.3%,0.11,0.27,16.9,0.0,0.0,0.0,0.06,0.06,0.07,0.04,0.04,71.27,80.47,88.6%,1091.85,272.83,38.65,41.68,92.7%,27.72,30.41,91.2%,3.24,4.56,70.9%,0.07,0.06,0.08,0.72,6.67,0.68,0.1,5.75,80.47,73.89,6.47,1.09,0.1,0.44,1.12,5.38,0.0,0.0,0.0,0.0,71.27,0.1,1.4,2.18,1.77,0.03,0.2,0.07,0.03,0.07,0.27,0.27,0.0,0.0,0.0,0.0,0.0,1.8,1.23,0.72,0.75,0.34,0.68,1.29,52.6%,0.61,1.16,0.44,0.72,1.12,2.93,1.5,0.14,89.39,2.59,18.32,48.52,23.39,1.74,89.39,1.5,0.92,61.4%,0.41,27.3%,55.4,271.4,149.18,2.55,2.15,0.44,0.82,0.65,65.24,3.54,0.17,0.0,0.0,0.99,0.68,0.14,1.12,1.12,1.23,0.0,0.0,0.0,6.03,1.29,1.06,55.1%
1,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,0.1,0.07,0.17,0.1,0.0,0.0,0.0,0.0,0.14,0.14,0.06,0.2,1.28,5.48,0.94,0.1,0.9,0.28,30.8%,0.12,0.38,10.7,0.0,0.0,0.0,0.14,0.14,0.15,-0.03,-0.03,78.49,84.84,92.5%,1207.71,386.51,40.17,41.86,95.9%,34.45,36.63,94.0%,2.25,3.85,58.6%,0.07,0.06,0.06,0.59,7.69,0.35,0.1,5.48,84.84,79.53,5.23,1.56,0.03,0.1,0.52,3.5,0.0,0.0,0.0,0.0,78.49,0.07,0.62,1.94,1.59,0.0,0.07,0.17,0.03,0.07,0.24,0.14,0.0,0.03,0.07,0.0,0.0,1.18,0.73,0.73,0.35,0.1,0.55,0.87,64.0%,0.31,0.66,0.1,0.55,0.55,1.73,2.63,0.0,91.91,4.23,26.06,52.33,13.86,1.66,91.91,0.42,0.21,50.0%,0.14,33.3%,57.91,275.23,162.01,1.28,2.04,0.07,0.35,0.1,69.45,0.94,0.0,0.0,0.0,0.45,0.8,0.0,0.52,0.55,0.73,0.0,0.0,0.0,5.2,1.91,1.11,63.2%
2,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.0,0.02,0.02,0.08,0.09,2.34,5.6,4.97,0.0,0.51,0.1,19.0%,0.0,0.0,28.4,0.05,0.0,0.0,0.02,0.02,0.03,-0.02,-0.02,71.28,80.55,88.5%,1233.12,304.45,32.43,34.45,94.1%,31.7,34.69,91.4%,6.13,8.84,69.4%,0.1,0.08,0.1,0.75,7.6,0.93,0.39,5.6,80.55,72.69,7.84,1.1,0.17,0.68,1.73,6.74,0.0,0.0,0.0,0.0,71.28,0.02,1.05,1.97,1.78,0.02,0.02,0.07,0.05,0.02,0.29,0.24,0.0,0.02,0.02,0.0,0.0,1.14,0.78,0.56,0.46,0.12,0.73,1.34,54.5%,0.61,0.54,0.15,0.39,0.8,1.95,1.36,0.02,86.84,2.78,18.65,46.55,22.27,1.17,86.84,1.05,0.68,65.1%,0.27,25.6%,50.51,242.52,131.51,2.34,2.07,0.19,0.78,0.39,64.29,4.97,0.07,0.0,0.0,0.8,0.51,0.19,1.73,0.8,0.78,0.0,0.0,0.0,5.38,0.88,0.54,62.1%
3,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883,0.0,0.18,0.18,0.0,0.0,0.0,0.18,0.06,0.17,0.17,0.15,0.32,3.97,5.06,7.28,0.0,1.51,0.36,24.0%,0.0,0.0,16.0,0.06,0.0,0.0,0.17,0.17,0.11,-0.17,-0.17,49.67,57.79,85.9%,700.8,126.72,31.12,34.01,91.5%,14.69,16.62,88.4%,2.29,3.85,59.4%,0.18,0.15,0.22,1.57,3.13,1.81,0.36,5.06,57.79,55.32,2.35,1.02,0.48,0.3,2.29,0.48,0.66,0.18,0.24,0.06,49.67,0.12,1.08,3.61,2.77,0.3,0.12,0.12,0.3,0.0,0.42,0.3,0.0,0.0,0.0,0.12,0.0,1.2,0.6,0.42,0.6,0.18,0.72,1.81,40.0%,1.08,0.72,0.18,0.54,0.78,1.99,1.02,0.06,69.59,1.93,8.85,31.06,30.76,4.76,69.59,4.88,2.11,43.2%,2.05,42.0%,44.61,281.38,141.89,3.97,3.73,1.44,1.81,1.63,55.75,7.28,0.18,0.06,0.06,0.78,2.59,0.36,2.29,0.78,0.6,0.06,0.0,0.0,4.45,0.9,1.2,42.9%
4,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,0.28,0.14,0.42,0.28,0.0,0.0,0.28,0.0,0.16,0.16,0.24,0.4,4.82,6.27,9.89,0.28,1.39,0.56,40.0%,0.2,0.5,15.9,0.06,0.0,0.0,0.16,0.16,0.11,0.12,0.12,56.8,65.93,86.1%,864.93,177.13,32.23,34.46,93.5%,19.78,22.73,87.0%,3.43,5.24,65.4%,0.14,0.24,0.26,1.95,3.43,1.84,0.42,6.27,65.93,62.2,3.54,1.17,0.06,0.22,2.92,1.17,0.64,0.28,0.0,0.0,56.8,0.2,1.17,4.32,3.84,0.14,0.11,0.08,0.14,0.0,0.33,0.31,0.0,0.03,0.0,0.0,0.0,1.75,0.86,0.45,0.86,0.45,0.81,1.95,41.4%,1.14,1.03,0.17,0.86,0.59,2.34,0.59,0.03,75.4,1.2,8.25,29.92,37.58,5.26,75.4,2.37,1.28,54.1%,0.89,37.6%,50.89,292.95,156.77,4.82,2.9,1.14,1.62,1.28,60.03,9.89,0.28,0.0,0.0,1.03,1.06,0.06,2.92,0.59,0.86,0.0,0.0,0.0,4.04,0.14,0.45,23.8%
5,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,0.14,0.18,0.32,0.14,0.0,0.0,0.41,0.0,0.17,0.17,0.28,0.45,7.23,4.07,13.47,0.14,1.9,0.59,31.0%,0.07,0.23,16.4,0.0,0.0,0.0,0.17,0.17,0.09,-0.03,-0.03,42.13,49.5,85.1%,625.98,101.44,24.18,26.17,92.4%,14.65,16.23,90.3%,2.03,3.16,64.3%,0.18,0.28,0.29,2.53,1.36,2.12,0.14,4.07,49.5,46.7,2.67,0.77,0.27,0.18,2.22,0.9,0.99,0.45,0.09,0.14,42.13,0.14,1.94,5.06,3.89,0.23,0.14,0.27,0.54,0.0,0.59,0.41,0.0,0.0,0.05,0.14,0.0,0.9,0.59,0.36,0.45,0.09,0.41,1.13,36.0%,0.72,0.99,0.23,0.77,0.41,1.31,0.45,0.0,59.8,0.86,4.66,16.63,39.1,6.96,59.8,3.93,1.63,41.4%,0.95,24.1%,44.21,356.84,176.52,7.23,3.89,3.89,1.58,1.49,48.59,13.47,0.41,0.0,0.0,0.72,3.44,0.09,2.22,0.41,0.59,0.0,0.0,0.0,3.53,0.27,0.5,35.3%
6,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,0.56,0.29,0.85,0.56,0.0,0.0,0.02,0.0,0.34,0.34,0.28,0.62,3.49,5.63,9.63,0.56,3.36,1.36,40.6%,0.17,0.41,18.3,0.12,0.0,0.0,0.34,0.34,0.1,0.22,0.22,47.99,55.86,85.9%,656.15,121.0,30.97,32.97,93.9%,12.94,15.01,86.2%,2.14,3.8,56.4%,0.29,0.28,0.27,2.17,2.24,2.17,0.22,5.63,55.86,53.66,2.12,0.54,0.54,0.17,2.56,0.2,1.1,0.41,0.39,0.0,47.99,0.07,1.63,4.63,3.61,0.22,0.37,0.2,0.22,0.02,0.76,0.58,0.02,0.05,0.0,0.1,0.0,0.8,0.56,0.29,0.27,0.24,0.34,0.85,40.0%,0.51,0.85,0.02,0.83,0.37,1.17,0.58,0.02,67.51,0.76,5.26,23.88,39.09,6.02,67.51,3.29,1.66,50.4%,1.32,40.0%,45.4,225.72,114.05,3.49,2.51,1.73,2.0,1.34,55.47,9.63,0.02,0.0,0.0,0.51,1.63,0.2,2.56,0.37,0.56,0.02,0.02,0.0,3.9,0.34,0.66,34.1%
7,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,0.44,0.26,0.7,0.42,0.03,0.03,0.05,0.0,0.41,0.4,0.22,0.61,2.47,3.51,6.35,0.44,3.3,1.4,42.5%,0.13,0.3,17.7,0.36,0.03,0.03,0.41,0.4,0.12,0.03,0.02,34.39,42.61,80.7%,482.02,101.94,21.02,23.12,90.9%,9.1,11.21,81.2%,2.16,4.84,44.6%,0.26,0.22,0.21,2.32,1.64,1.27,0.1,3.51,42.61,36.81,5.64,0.81,0.34,0.08,4.45,0.26,3.85,1.38,1.07,0.05,34.39,0.16,0.86,4.24,2.6,0.96,0.23,0.39,0.05,0.0,0.55,0.39,0.05,0.05,0.0,0.05,0.0,0.99,0.57,0.16,0.42,0.42,0.42,1.25,33.3%,0.83,0.83,0.03,0.81,0.08,1.07,0.44,0.03,52.75,0.6,3.46,16.34,33.42,5.2,52.73,1.9,0.96,50.7%,0.88,46.6%,31.86,160.96,75.9,2.47,2.13,0.83,1.92,1.43,38.76,6.35,0.05,0.0,0.0,0.68,0.44,0.08,4.45,0.08,0.57,0.05,0.0,0.0,3.17,0.21,0.81,20.5%
8,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.05,0.05,0.01,0.06,1.38,6.04,0.48,0.0,0.63,0.25,40.0%,0.0,0.0,14.4,0.0,0.0,0.0,0.05,0.05,0.08,-0.05,-0.05,91.9,97.49,94.3%,1595.3,522.77,38.93,40.28,96.6%,46.49,48.07,96.7%,5.54,7.51,73.7%,0.0,0.01,0.06,0.18,8.12,0.28,0.05,6.04,97.49,94.88,2.53,1.9,0.05,0.25,0.33,0.4,0.0,0.0,0.0,0.0,91.9,0.08,0.3,1.15,0.93,0.0,0.0,0.18,0.0,0.05,0.15,0.08,0.0,0.0,0.05,0.0,0.03,1.45,0.85,0.55,0.78,0.13,0.8,1.15,69.6%,0.35,1.08,0.6,0.48,0.93,2.38,2.73,0.0,105.48,7.77,35.14,61.8,8.77,1.03,105.48,0.15,0.1,66.7%,0.05,33.3%,71.86,405.96,257.3,1.38,2.3,0.03,0.3,0.23,84.76,0.48,0.08,0.0,0.0,0.88,0.55,0.0,0.33,0.93,0.85,0.0,0.03,0.05,4.26,1.73,1.55,52.7%
9,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,0.13,0.0,0.13,0.13,0.0,0.0,0.16,0.03,0.06,0.06,0.03,0.09,1.59,5.4,1.38,0.13,0.55,0.18,33.3%,0.24,0.71,16.7,0.0,0.0,0.0,0.06,0.06,0.11,0.07,0.07,79.48,84.99,93.5%,1293.92,352.11,40.13,41.59,96.5%,33.86,35.56,95.2%,4.26,5.69,74.8%,0.0,0.03,0.07,0.5,7.21,0.57,0.05,5.4,84.99,81.59,3.26,1.51,0.16,0.44,0.34,1.41,0.0,0.0,0.0,0.0,79.48,0.13,0.39,1.85,1.57,0.03,0.0,0.1,0.08,0.08,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.54,1.02,0.6,0.65,0.29,0.81,1.36,59.6%,0.55,0.86,0.39,0.47,0.73,2.27,2.3,0.1,92.17,5.04,27.57,50.89,14.18,1.12,92.17,0.29,0.1,36.4%,0.13,45.5%,59.32,297.99,176.16,1.59,1.88,0.08,0.5,0.34,72.11,1.38,0.16,0.03,0.03,0.6,0.81,0.0,0.34,0.73,1.02,0.0,0.0,0.0,5.09,0.97,0.97,50.0%
10,https://www.transfermarkt.com/john-stones/profil/spieler/186590,0.05,0.05,0.09,0.05,0.0,0.0,0.09,0.0,0.06,0.06,0.02,0.08,1.76,4.78,1.81,0.05,0.37,0.09,25.0%,0.13,0.5,18.3,0.0,0.0,0.0,0.06,0.06,0.17,-0.02,-0.02,65.38,70.2,93.1%,1042.3,254.56,33.48,35.38,94.6%,27.13,28.47,95.3%,3.66,4.64,79.0%,0.05,0.02,0.04,0.46,4.54,0.19,0.05,4.78,70.2,68.81,1.39,0.83,0.05,0.51,0.32,0.42,0.0,0.0,0.0,0.0,65.38,0.0,0.37,1.62,1.53,0.0,0.0,0.0,0.09,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.32,0.19,0.14,0.14,0.05,0.05,0.32,14.3%,0.28,1.02,0.65,0.37,0.7,1.02,1.9,0.0,76.51,5.47,21.65,40.25,15.02,1.02,76.51,0.83,0.42,50.0%,0.28,33.3%,49.66,295.87,147.77,1.76,2.04,0.05,0.6,0.51,61.99,1.81,0.09,0.0,0.0,0.28,0.46,0.05,0.32,0.7,0.19,0.0,0.0,0.0,4.13,1.39,0.6,69.8%
11,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,0.11,0.16,0.26,0.11,0.0,0.0,0.05,0.0,0.08,0.08,0.14,0.22,2.0,4.16,4.69,0.11,0.63,0.26,41.7%,0.17,0.4,16.9,0.0,0.0,0.0,0.08,0.08,0.12,0.03,0.03,57.07,62.28,91.6%,814.9,135.21,34.72,36.46,95.2%,19.18,20.39,94.1%,1.9,2.58,73.5%,0.16,0.14,0.16,1.58,3.16,0.84,0.0,4.16,62.28,58.07,4.22,0.84,0.26,0.11,0.16,3.16,0.0,0.0,0.0,0.0,57.07,0.0,1.0,2.48,2.37,0.0,0.0,0.05,0.05,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0,1.11,0.69,0.53,0.26,0.32,0.37,0.74,50.0%,0.37,1.0,0.32,0.69,0.53,1.63,0.79,0.05,68.4,1.69,11.86,34.2,22.97,2.48,68.4,1.21,0.74,60.9%,0.37,30.4%,43.79,212.51,119.24,2.0,2.53,0.26,0.58,1.16,54.17,4.69,0.05,0.0,0.0,0.79,1.84,0.0,0.16,0.53,0.69,0.0,0.0,0.0,4.48,0.0,0.63,0.0%
12,https://www.transfermarkt.com/rodri/profil/spieler/357565,0.21,0.21,0.41,0.21,0.0,0.0,0.23,0.02,0.12,0.12,0.11,0.23,2.93,11.33,1.73,0.21,1.77,0.65,36.4%,0.12,0.32,20.1,0.0,0.0,0.0,0.12,0.12,0.07,0.08,0.08,101.24,110.36,91.7%,1762.8,462.42,47.45,50.54,93.9%,41.79,44.57,93.7%,10.07,11.89,84.7%,0.21,0.11,0.17,1.43,11.08,1.75,0.02,11.33,110.36,108.27,1.96,1.7,0.39,1.08,0.39,0.16,0.07,0.0,0.0,0.0,101.24,0.14,0.67,4.61,3.85,0.05,0.25,0.14,0.18,0.14,0.62,0.44,0.0,0.07,0.05,0.05,0.02,2.03,1.31,0.78,0.94,0.3,0.94,1.66,56.9%,0.71,0.83,0.23,0.6,0.85,2.88,1.31,0.12,119.79,3.39,20.43,70.58,29.55,2.37,119.79,1.82,1.27,69.6%,0.37,20.3%,76.18,372.12,214.51,2.93,3.09,0.48,0.6,0.88,98.09,1.73,0.23,0.02,0.0,1.27,0.99,0.14,0.39,0.85,1.31,0.05,0.0,0.0,7.19,1.59,0.76,67.6%
13,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,0.05,0.05,0.1,0.05,0.0,0.0,0.19,0.0,0.08,0.08,0.11,0.19,2.4,5.27,2.45,0.05,1.2,0.19,16.0%,0.04,0.25,20.0,0.0,0.0,0.0,0.08,0.08,0.06,-0.03,-0.03,76.72,82.52,93.0%,1096.16,243.44,45.07,46.85,96.2%,27.0,28.96,93.2%,2.3,3.21,71.6%,0.05,0.11,0.12,1.34,7.24,0.86,0.0,5.27,82.52,80.36,2.11,1.34,0.34,0.05,0.05,0.14,0.05,0.0,0.0,0.0,76.72,0.05,0.72,3.16,2.73,0.0,0.14,0.19,0.1,0.0,0.34,0.29,0.0,0.0,0.05,0.0,0.0,2.01,1.34,0.91,0.82,0.29,0.86,1.58,54.5%,0.72,1.1,0.1,1.01,0.48,2.49,0.72,0.0,91.58,1.73,12.61,57.44,22.15,1.15,91.58,1.97,1.2,61.0%,0.48,24.4%,62.77,352.28,152.77,2.4,2.92,0.1,0.96,1.25,77.2,2.45,0.19,0.0,0.0,0.77,1.15,0.05,0.05,0.48,1.34,0.0,0.0,0.0,4.36,0.34,0.34,50.0%
14,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,0.43,0.73,1.16,0.43,0.0,0.0,0.12,0.0,0.19,0.19,0.63,0.82,3.23,8.46,9.37,0.43,3.23,1.34,41.5%,0.13,0.32,21.5,0.55,0.0,0.0,0.19,0.19,0.06,0.23,0.23,53.18,72.35,73.5%,876.39,250.53,29.51,33.41,88.3%,17.59,23.67,74.3%,5.23,11.01,47.5%,0.73,0.63,0.44,3.59,5.11,3.71,0.79,8.46,72.35,62.13,9.61,1.83,0.91,0.49,11.26,1.89,5.48,1.89,1.52,0.43,53.18,0.61,2.31,6.33,4.32,1.34,0.18,0.24,0.24,0.0,0.79,0.49,0.24,0.0,0.0,0.06,0.0,1.16,0.73,0.06,0.55,0.55,0.61,1.46,41.7%,0.85,0.67,0.0,0.67,0.3,1.46,0.3,0.0,82.03,0.24,2.92,27.63,52.45,5.29,82.03,2.49,0.97,39.0%,1.28,51.2%,46.43,211.28,119.33,3.23,2.86,0.73,1.03,1.22,62.01,9.37,0.12,0.0,0.0,1.1,0.85,0.12,11.26,0.3,0.73,0.0,0.0,0.0,3.53,0.43,0.49,46.7%
15,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,0.3,0.38,0.68,0.3,0.0,0.0,0.11,0.0,0.19,0.19,0.32,0.51,10.56,3.91,15.68,0.3,2.81,1.06,37.8%,0.11,0.29,16.0,0.0,0.0,0.0,0.19,0.19,0.07,0.12,0.12,37.63,45.27,83.1%,542.43,93.76,23.32,26.01,89.6%,12.0,14.54,82.5%,1.48,1.82,81.3%,0.38,0.32,0.39,2.51,0.84,2.51,0.46,3.91,45.27,44.62,0.61,0.15,0.11,0.19,2.96,0.34,0.11,0.0,0.0,0.0,37.63,0.04,1.56,6.23,4.59,0.08,0.99,0.38,0.19,0.0,0.84,0.46,0.0,0.23,0.08,0.08,0.0,1.9,1.14,0.57,0.84,0.49,0.65,1.18,54.8%,0.53,0.76,0.0,0.76,0.38,2.28,0.15,0.0,60.95,0.23,4.06,16.75,41.66,11.01,60.95,10.1,5.85,57.9%,3.19,31.6%,47.32,417.3,258.65,10.56,3.38,6.8,2.77,1.71,49.06,15.68,0.11,0.0,0.0,0.91,2.16,0.19,2.96,0.38,1.14,0.04,0.0,0.0,4.71,0.11,0.23,33.3%
16,https://www.transfermarkt.com/oscar-bobb/profil/spieler/661207,0.35,0.18,0.53,0.35,0.0,0.0,0.0,0.0,0.28,0.28,0.25,0.53,3.35,5.28,8.28,0.35,1.41,0.53,37.5%,0.25,0.67,13.2,0.0,0.0,0.0,0.28,0.28,0.2,0.07,0.07,41.39,47.2,87.7%,514.11,107.44,27.48,29.06,94.5%,10.22,12.5,81.7%,0.7,0.7,100.0%,0.18,0.25,0.39,2.29,0.53,4.23,0.35,5.28,47.2,45.26,1.94,0.7,0.53,0.0,1.06,0.88,0.35,0.0,0.0,0.0,41.39,0.0,1.06,5.81,4.05,0.0,1.06,0.53,0.18,0.0,0.88,0.35,0.0,0.35,0.0,0.18,0.0,1.41,0.7,0.18,0.7,0.53,0.53,0.88,60.0%,0.35,0.7,0.0,0.7,0.7,2.11,0.18,0.0,57.06,0.7,3.17,13.56,41.21,6.52,57.06,4.58,2.47,53.8%,1.94,42.3%,36.63,197.08,103.74,3.35,2.11,1.76,1.23,1.23,44.56,8.28,0.0,0.0,0.0,0.7,1.41,0.18,1.06,0.7,0.7,0.0,0.0,0.0,3.87,0.18,0.7,20.0%
17,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,0.73,0.17,0.9,0.56,0.17,0.19,0.05,0.0,0.9,0.75,0.15,0.9,1.12,0.99,4.56,0.73,4.08,1.84,45.2%,0.14,0.3,11.7,0.02,0.17,0.19,0.9,0.75,0.19,-0.17,-0.19,9.83,13.18,74.6%,111.98,20.8,6.31,7.81,80.7%,2.33,2.84,82.1%,0.15,0.24,60.0%,0.17,0.15,0.09,1.04,0.41,0.56,0.0,0.99,13.18,12.79,0.36,0.02,0.1,0.0,0.19,0.0,0.02,0.0,0.0,0.0,9.83,0.02,0.61,2.11,1.43,0.0,0.17,0.29,0.19,0.02,0.34,0.22,0.0,0.02,0.07,0.02,0.0,0.24,0.1,0.0,0.17,0.07,0.1,0.15,66.7%,0.05,0.36,0.02,0.34,0.07,0.32,0.53,0.0,21.94,0.56,1.07,7.04,14.0,6.38,21.74,1.24,0.56,45.1%,0.61,49.0%,12.64,61.12,25.99,1.12,0.41,0.68,1.63,0.63,17.3,4.56,0.05,0.0,0.0,0.66,0.9,0.12,0.19,0.07,0.1,0.02,0.0,0.0,1.38,1.53,1.26,54.8%
18,https://www.transfermarkt.com/levi-colwill/profil/spieler/614258,0.04,0.12,0.16,0.04,0.0,0.0,0.12,0.0,0.09,0.09,0.06,0.15,1.06,3.9,1.1,0.04,0.61,0.12,20.0%,0.07,0.33,10.5,0.0,0.0,0.0,0.09,0.09,0.14,-0.04,-0.04,52.84,63.11,83.7%,899.96,346.92,24.04,26.6,90.4%,24.73,27.66,89.4%,3.09,6.42,48.1%,0.12,0.06,0.02,0.49,4.43,0.24,0.0,3.9,63.11,56.78,6.13,1.54,0.16,0.0,0.53,3.86,0.0,0.0,0.0,0.0,52.84,0.2,0.77,1.46,1.22,0.04,0.04,0.16,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.15,1.38,1.18,0.77,0.2,1.14,1.5,75.7%,0.37,1.22,0.49,0.73,1.3,3.45,3.29,0.0,74.16,6.58,30.83,36.47,7.35,1.34,74.16,0.57,0.41,71.4%,0.16,28.6%,42.81,201.69,113.72,1.06,0.81,0.08,1.02,0.2,48.05,1.1,0.12,0.0,0.0,1.22,0.69,0.16,0.53,1.3,1.38,0.0,0.0,0.0,4.95,2.32,1.26,64.8%
19,https://www.transfermarkt.com/benoit-badiashile/profil/spieler/463603,0.08,0.08,0.16,0.08,0.0,0.0,0.25,0.0,0.05,0.05,0.12,0.17,0.25,3.92,0.25,0.08,0.41,0.16,40.0%,0.2,0.5,9.1,0.0,0.0,0.0,0.05,0.05,0.12,0.03,0.03,79.46,87.63,90.7%,1391.04,538.04,33.11,35.07,94.4%,40.3,43.73,92.1%,5.07,7.11,71.3%,0.08,0.12,0.07,0.41,4.25,0.25,0.0,3.92,87.63,84.85,2.78,2.21,0.08,0.08,0.16,0.49,0.0,0.0,0.0,0.0,79.46,0.0,0.33,1.55,1.23,0.0,0.0,0.08,0.08,0.16,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.55,1.14,0.98,0.57,0.0,0.74,1.14,64.3%,0.41,1.55,0.9,0.65,1.23,2.78,3.68,0.16,97.19,10.71,43.98,49.54,3.92,0.9,97.19,0.16,0.08,50.0%,0.0,0.0%,59.67,260.11,141.42,0.25,0.41,0.0,0.41,0.41,71.61,0.25,0.25,0.0,0.0,0.9,0.65,0.08,0.16,1.23,1.14,0.0,0.08,0.0,6.13,2.45,1.72,58.8%
20,https://www.transfermarkt.com/trevoh-chalobah/profil/spieler/346314,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.03,0.01,0.04,0.88,4.5,1.86,0.0,0.29,0.1,33.3%,0.0,0.0,7.9,0.0,0.0,0.0,0.03,0.03,0.1,-0.03,-0.03,69.16,79.43,87.1%,1178.9,335.64,27.98,31.21,89.7%,36.98,39.42,93.8%,3.23,7.04,45.8%,0.0,0.01,0.02,0.39,3.33,0.2,0.0,4.5,79.43,76.01,3.33,1.17,0.0,0.0,0.39,2.05,0.0,0.0,0.0,0.0,69.16,0.1,0.29,1.08,0.88,0.0,0.1,0.0,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.66,1.17,1.08,0.2,0.39,1.17,1.27,92.3%,0.1,1.17,0.78,0.39,0.88,2.54,3.72,0.0,87.95,9.2,38.64,39.23,10.37,0.98,87.95,0.39,0.39,100.0%,0.0,0.0%,49.01,153.0,74.64,0.88,0.78,0.1,0.78,0.2,64.76,1.86,0.1,0.0,0.0,0.2,0.39,0.0,0.39,0.88,1.17,0.0,0.0,0.0,5.38,1.47,2.05,41.7%
